Frame,Time (Sec),Y (mm),Z (mm),Layer,MP Area,MP Eccentricity,Tmax,Row,Column,Porosity Label,Porosity Size (mm)
122,35.21,30.97,2.04,5,656,0.3979853623350468,1725,103,91,0,0.0
123,35.36,32.91,2.04,5,457,0.4544050682766395,1704,101,89,0,0.0
124,35.52,34.85,2.04,5,946,0.4428775550981637,1743,103,90,0,0.0
125,35.67,36.78,2.04,5,553,0.404364831866818,1717,103,90,0,0.0
126,35.82,38.72,2.04,5,560,0.4173857954321626,1715,102,89,0,0.0
127,35.97,40.65,2.04,5,658,0.4838907627530116,1726,103,92,0,0.0
128,36.13,42.59,2.04,5,751,0.5113450049554471,1738,105,91,0,0.0
129,36.28,44.53,2.04,5,754,0.4945261333709967,1745,102,91,0,0.0
130,36.43,46.46,2.04,5,673,0.3572421536853814,1736,102,91,0,0.0
131,36.58,48.4,2.04,5,478,0.4081006665422496,1716,100,92,0,0.0
132,36.74,50.33,2.04,5,518,0.4716172938553944,1723,103,90,0,0.0
133,36.89,52.27,2.04,5,676,0.5042946695955447,1736,103,92,0,0.0
134,40.85,0.0,2.55,6,1612,0.4894254737974454,1783,103,90,0,0.0
135,41.01,1.936,2.55,6,541,0.4718377223720417,1700,101,88,0,0.0
136,41.16,3.872,2.55,6,778,0.502295478436388,1727,102,91,0,0.0
137,41.31,5.808,2.55,6,552,0.5009841136536809,1704,98,90,0,0.0
138,41.46,7.744,2.55,6,1006,0.3574134460476109,1750,103,93,0,0.0
139,41.61,9.68,2.55,6,307,0.3939142257529344,1675,99,87,0,0.0
140,41.77,11.62,2.55,6,584,0.3695578333345512,1701,100,88,0,0.0
141,41.92,13.55,2.55,6,669,0.4827551638109305,1717,97,91,0,0.0
142,42.07,15.49,2.55,6,858,0.3023585218125658,1734,103,90,0,0.0
143,42.22,17.42,2.55,6,458,0.3868893993837422,1705,101,91,0,0.0
144,42.38,19.36,2.55,6,413,0.4891527320082331,1704,102,91,0,0.0
145,42.53,21.3,2.55,6,726,0.5301442486735337,1728,104,90,0,0.0
146,42.68,23.23,2.55,6,573,0.5230945817969685,1710,101,91,0,0.0
147,42.83,25.17,2.55,6,753,0.5540196399596322,1742,102,91,0,0.0
148,42.99,27.1,2.55,6,493,0.3727203048503442,1711,101,91,0,0.0
149,43.14,29.04,2.55,6,717,0.4188939481617,1733,102,92,0,0.0
150,43.29,30.97,2.55,6,509,0.3915077113471655,1715,103,90,0,0.0
151,43.44,32.91,2.55,6,508,0.4528677899173638,1712,102,91,0,0.0
152,43.6,34.85,2.55,6,654,0.5205001696030187,1732,102,93,0,0.0
153,43.75,36.78,2.55,6,607,0.4237692182310333,1730,101,95,0,0.0
154,43.9,38.72,2.55,6,472,0.3919757576873571,1711,102,93,0,0.0
155,44.05,40.65,2.55,6,493,0.4313347910246786,1722,102,90,0,0.0
156,44.21,42.59,2.55,6,522,0.3900389818893454,1723,102,91,0,0.0
157,44.36,44.53,2.55,6,473,0.3997101917243814,1719,103,93,0,0.0
158,44.51,46.46,2.55,6,551,0.4349270999611707,1724,103,91,0,0.0
159,44.66,48.4,2.55,6,470,0.4221007727244385,1712,103,93,0,0.0
160,49.24,0.0,3.06,7,1246,0.5393431756432566,1757,101,94,0,0.0
161,49.39,1.936,3.06,7,865,0.565240839963111,1743,102,93,0,0.0
162,49.54,3.872,3.06,7,436,0.3994776415618459,1700,101,91,0,0.0
163,49.69,5.808,3.06,7,501,0.45193445633428,1704,102,93,0,0.0
164,49.85,7.744,3.06,7,772,0.2805385741275183,1735,101,94,0,0.0
165,50.0,9.68,3.06,7,994,0.5333037437694933,1752,103,92,0,0.0
166,50.15,11.62,3.06,7,719,0.3812693653748687,1727,101,91,0,0.0
167,50.3,13.55,3.06,7,488,0.412128679758309,1701,100,90,0,0.0
168,50.46,15.49,3.06,7,743,0.3285738836696988,1736,104,93,0,0.0
169,50.61,17.42,3.06,7,672,0.2940277666079635,1731,103,92,0,0.0
170,50.76,19.36,3.06,7,834,0.3740728120255588,1744,102,91,0,0.0
171,50.91,21.3,3.06,7,415,0.3097416493848931,1699,102,91,0,0.0
172,51.07,23.23,3.06,7,448,0.4562648813441568,1703,101,91,0,0.0
173,51.22,25.17,3.06,7,513,0.3865027527837581,1713,103,92,0,0.0
174,51.37,27.1,3.06,7,682,0.3994326600033696,1736,105,91,0,0.0
175,51.52,29.04,3.06,7,517,0.4421706029727615,1722,103,94,0,0.0
176,51.68,30.97,3.06,7,552,0.3736884973008359,1724,103,92,0,0.0
177,51.83,32.91,3.06,7,526,0.5154141573198735,1716,103,92,0,0.0
178,51.98,34.85,3.06,7,591,0.3580142195780821,1722,103,92,0,0.0
179,52.13,36.78,3.06,7,718,0.5099003212168016,1740,104,95,0,0.0
180,52.29,38.72,3.06,7,412,0.3688166080212211,1714,102,91,0,0.0
181,52.44,40.65,3.06,7,398,0.3957904807687037,1701,104,93,0,0.0
182,52.59,42.59,3.06,7,452,0.524759245617568,1711,102,92,0,0.0
183,52.74,44.53,3.06,7,493,0.4497618808768831,1725,105,93,0,0.0
184,52.89,46.46,3.06,7,401,0.4238620696964155,1706,102,94,0,0.0
