Frame,Min_Temp,Max_Temp,Mean_Temp,Std_Temp,Median_Temp,Q1,Q3,IQR,Skewness,Kurtosis,High_Temp_Pixels,Porosity Label
Frame_48.csv,1119.0,1680.0,1262.0823,97.32322,1221.0,1208.0,1275.0,67.0,1.9713225,3.8222847,3667,0
Frame_480.csv,1071.0,1795.0,1251.1696,115.51048,1208.0,1183.0,1289.0,106.0,1.953331,4.071769,3502,0
Frame_481.csv,1065.0,1726.0,1238.7941,107.248764,1200.0,1176.0,1273.0,97.0,1.863124,3.7010398,3491,0
Frame_482.csv,1103.0,1766.0,1250.6399,109.15201,1204.0,1191.0,1282.0,91.0,1.9980873,4.317968,3412,0
Frame_483.csv,1056.0,1714.0,1237.0686,97.68091,1201.0,1179.0,1262.0,83.0,2.079091,4.7745914,3451,0
Frame_484.csv,1145.0,1693.0,1264.592,58.620457,1252.0,1238.0,1276.0,38.0,2.3006876,9.696989,3064,1
Frame_485.csv,1118.0,1754.0,1290.0287,109.92882,1244.0,1220.0,1324.0,104.0,1.7863508,3.0293424,3773,0
Frame_486.csv,1081.0,1726.0,1259.0979,109.971085,1208.0,1195.0,1295.0,100.0,1.7684419,3.014133,3775,0
Frame_487.csv,1114.0,1764.0,1271.3143,115.97765,1228.0,1203.0,1311.0,108.0,1.7768608,2.9943464,3684,0
Frame_488.csv,1099.0,1782.0,1283.5978,118.69656,1229.0,1216.0,1319.0,103.0,1.7863227,3.0072923,3742,0
Frame_489.csv,1095.0,1771.0,1278.8894,114.594894,1225.0,1211.0,1329.0,118.0,1.7154894,2.8333712,3712,0
Frame_49.csv,1133.0,1721.0,1270.3057,101.48275,1238.0,1224.0,1273.0,49.0,2.2023723,4.760054,3827,1
Frame_490.csv,1112.0,1754.0,1271.1187,115.89227,1226.0,1200.0,1316.0,116.0,1.6985041,2.7009811,3688,0
Frame_491.csv,1091.0,1746.0,1274.6553,113.659706,1220.0,1207.0,1323.0,116.0,1.6433268,2.478424,3753,0
Frame_492.csv,1105.0,1767.0,1289.6279,110.29638,1249.0,1223.0,1335.0,112.0,1.7292417,3.0154908,3517,0
Frame_493.csv,1104.0,1728.0,1252.6757,106.19783,1216.0,1191.0,1291.0,100.0,1.8593293,3.6137216,3583,0
Frame_494.csv,1086.0,1773.0,1270.1202,112.82235,1226.0,1201.0,1317.0,116.0,1.7411101,3.1035185,3529,0
Frame_495.csv,1109.0,1754.0,1280.5435,105.68563,1233.0,1210.0,1325.0,115.0,1.8158536,3.4974313,3324,0
Frame_496.csv,1131.0,1788.0,1286.7979,111.38077,1248.0,1222.0,1325.0,103.0,1.8296895,3.4492698,3588,0
Frame_497.csv,1090.0,1713.0,1237.5554,108.1922,1188.0,1176.0,1273.0,97.0,1.821643,3.2993553,3673,0
Frame_498.csv,1067.0,1742.0,1240.3049,110.527855,1191.0,1178.0,1275.0,97.0,1.9017887,3.7659514,3567,0
Frame_499.csv,1089.0,1727.0,1239.1144,108.62098,1199.0,1174.0,1279.0,105.0,1.7931982,3.355259,3421,0
Frame_5.csv,1204.0,1749.0,1378.198,90.53401,1356.0,1341.0,1385.0,44.0,1.9934127,3.8427787,3692,1
Frame_50.csv,1150.0,1709.0,1290.1221,96.57527,1257.0,1243.0,1293.0,50.0,2.0360417,4.0482526,3833,1
Frame_500.csv,1072.0,1723.0,1246.7416,106.53259,1197.0,1184.0,1290.0,106.0,1.7916316,3.3609087,3453,0
Frame_501.csv,1101.0,1783.0,1255.5148,115.21735,1213.0,1189.0,1288.0,99.0,1.9535522,4.003617,3517,0
Frame_502.csv,1088.0,1742.0,1238.5435,113.7652,1185.0,1173.0,1277.0,104.0,1.84352,3.3922033,3640,0
Frame_503.csv,1050.0,1727.0,1220.2526,107.97222,1171.0,1159.0,1254.0,95.0,2.0181844,4.43943,3303,0
Frame_504.csv,1079.0,1749.0,1243.1892,106.14355,1198.0,1176.0,1273.0,97.0,2.0536249,4.5852847,3466,0
Frame_505.csv,1084.0,1756.0,1230.99,108.51634,1193.0,1169.0,1265.0,96.0,2.044857,4.6773524,3260,0
Frame_506.csv,1088.0,1780.0,1236.714,112.85238,1186.0,1173.0,1270.0,97.0,1.9880348,4.3186116,3419,0
Frame_507.csv,1086.0,1771.0,1269.7628,114.28598,1226.0,1201.0,1309.0,108.0,1.7896693,3.214813,3633,0
Frame_508.csv,1063.0,1756.0,1235.0568,109.84935,1187.0,1174.0,1271.0,97.0,2.042977,4.595084,3290,0
Frame_509.csv,1087.0,1701.0,1244.1725,95.477516,1208.0,1185.0,1276.0,91.0,1.9337603,4.0609407,3635,0
Frame_51.csv,1099.0,1697.0,1261.6935,96.20085,1230.0,1217.0,1265.0,48.0,2.1832974,4.8634768,3669,0
Frame_510.csv,1144.0,1682.0,1303.4999,63.08379,1297.0,1270.0,1310.0,40.0,3.0623415,11.478332,2487,1
Frame_511.csv,1089.0,1727.0,1273.9707,112.2074,1230.0,1204.0,1320.0,116.0,1.630381,2.4312913,3745,0
Frame_512.csv,1124.0,1742.0,1280.3864,110.875336,1240.0,1214.0,1324.0,110.0,1.7199392,2.8369083,3706,0
Frame_513.csv,1129.0,1779.0,1285.7004,114.03417,1233.0,1220.0,1323.0,103.0,1.8316848,3.3428965,3538,0
Frame_514.csv,1139.0,1783.0,1315.9949,108.81779,1270.0,1245.0,1360.0,115.0,1.7422895,2.9204814,3753,0
Frame_515.csv,1064.0,1707.0,1237.1592,107.09016,1188.0,1175.0,1272.0,97.0,1.8319211,3.3552206,3645,0
Frame_516.csv,1083.0,1739.0,1261.7266,109.58004,1211.0,1198.0,1298.0,100.0,1.793029,3.2045233,3626,0
Frame_517.csv,1075.0,1757.0,1256.0769,116.14768,1213.0,1188.0,1287.0,99.0,1.8310403,3.2522602,3741,0
Frame_518.csv,1094.0,1740.0,1248.929,114.160934,1205.0,1180.0,1293.0,113.0,1.8135968,3.2564523,3613,0
Frame_519.csv,1114.0,1758.0,1269.1816,112.2989,1228.0,1202.0,1311.0,109.0,1.7544631,3.0615785,3590,0
Frame_52.csv,1299.0,1769.0,1423.1149,65.14799,1414.0,1395.0,1431.0,36.0,2.311692,7.1151214,2856,1
Frame_520.csv,1136.0,1748.0,1294.4142,109.4366,1254.0,1228.0,1340.0,112.0,1.6136098,2.4309595,3716,0
Frame_521.csv,1084.0,1739.0,1234.7736,112.93597,1182.0,1169.0,1273.0,104.0,1.8494736,3.4696481,3532,0
Frame_522.csv,1081.0,1754.0,1262.9384,113.14085,1220.0,1195.0,1303.0,108.0,1.7482631,3.0589554,3514,0
Frame_523.csv,1091.0,1721.0,1242.5939,108.84761,1202.0,1177.0,1289.0,112.0,1.7678118,3.2371798,3458,0
Frame_524.csv,1075.0,1699.0,1219.84,105.56184,1182.0,1159.0,1253.0,94.0,1.8931072,3.8065603,3383,0
Frame_525.csv,1067.0,1732.0,1244.2548,111.30266,1191.0,1179.0,1290.0,111.0,1.7485272,3.0734406,3587,0
