Frame,Min_Temp,Max_Temp,Mean_Temp,Std_Temp,Median_Temp,Q1,Q3,IQR,Skewness,Kurtosis,High_Temp_Pixels,Num_Blobs,Largest_Blob_Area,Mean_Blob_Area,Eccentricity,Extent,Solidity,Orientation
Frame_942.csv,1055.0,1805.0,1231.7748,117.47152,1189.0,1165.0,1267.0,102.0,2.0412139892578125,4.611271,3440,1,3220.0,3220.0,0.5404967656555064,0.6965174129353234,0.9465020576131687,132.76486206054688
Frame_943.csv,1106.0,1817.0,1282.9498,110.595726,1238.0,1225.0,1312.0,87.0,1.933384895324707,4.0699425,3540,16,3414.5,213.4375,0.7643972820936732,0.6174502712477397,0.9033068783068783,147.7045440673828
Frame_944.csv,1089.0,1805.0,1202.6073,94.842896,1175.0,1161.0,1199.0,38.0,3.5455400943756104,14.138601,2640,2,2469.0,1234.5,0.8234296741478169,0.5763305322128851,0.9261065266316579,138.0985107421875
Frame_945.csv,1085.0,1729.0,1280.8849,107.220825,1237.0,1213.0,1316.0,103.0,1.7819148302078247,2.8956108,3932,9,3820.0,424.44444444444446,0.6058713201891146,0.6496598639455783,0.9276347741622146,103.0854263305664
Frame_946.csv,1117.0,1835.0,1313.2131,124.964096,1264.0,1238.0,1367.0,129.0,1.7207688093185425,2.7926059,3726,9,3485.5,387.27777777777777,0.6326394245590558,0.6656799083269671,0.9353280558164497,116.32437133789062
Frame_947.csv,1088.0,1716.0,1238.912,110.88956,1198.0,1174.0,1270.0,96.0,1.8387870788574219,3.3728905,3475,7,3366.5,480.92857142857144,0.46810668316087894,0.7286796536796537,0.9453805110923897,144.15174865722656
Frame_948.csv,1100.0,1751.0,1253.5283,114.38927,1200.0,1187.0,1293.0,106.0,1.785903811454773,3.1324959,3646,9,3520.5,391.22222222222223,0.06623487171904563,0.6791087962962963,0.9382995735607675,61.92824172973633
Frame_949.csv,1067.0,1764.0,1246.9135,116.22071,1192.0,1179.0,1291.0,112.0,1.862831711769104,3.6105595,3356,7,3244.5,463.5,0.5021047215756401,0.714018485915493,0.9423467905896021,96.20809173583984
Frame_950.csv,1114.0,1877.0,1314.4814,121.97975,1260.0,1247.0,1355.0,108.0,1.9590694904327393,4.0044546,3497,5,3384.0,676.8,0.500904739092603,0.682533279548205,0.9178193653376729,113.78785705566406
Frame_951.csv,1069.0,1769.0,1247.6118,114.7377,1205.0,1181.0,1278.0,97.0,1.9383293390274048,3.8891287,3589,10,3465.0,346.5,0.37359331315911504,0.7072872014696877,0.9373731908562153,134.2935333251953
